# DOOM II 1MB patch mappings for the GUS - Tom Klok (a344@mindlink.bc.ca)
# Explanation of Columns: Patch#  256K  512K  768K  1024K  PatchName
194,128,128,128,194,timbalel
195,128,128,128,128,agogohi
196,128,128,128,128,agogolo
197,128,128,128,197,cabasa
198,128,198,198,197,maracas
199,128,128,128,128,whistle1
200,128,128,128,128,whistle2
201,128,128,128,201,guiro1
202,128,128,128,201,guiro2
203,128,128,128,203,clave
204,128,204,204,204,woodblk1
205,128,205,205,205,woodblk2
206,128,128,128,204,cuica1
207,128,128,128,205,cuica2
208,128,128,128,208,triangl1
209,128,128,128,209,triangl2
210,128,128,128,210,shaker
211,128,128,128,209,jingles
212,128,128,128,209,belltree
213,128,128,128,213,castinet
214,128,128,128,214,surdo1
215,128,128,128,214,surdo2
